frame,veh_x,veh_y,veh_vx,veh_vy,ped_x,ped_y,ped_vx,ped_vy,distance,action
1,3.4229301983155693,-16.104330439287935,-1.137123361653356,1.9550949143930296,6.374675889755729,3.186729680494996,-0.7959338685493744,-0.012401428302437623,19.51557847392731,walking
2,3.374668666669804,-15.919184044853315,-0.482615316457653,1.8514639443461967,6.263827244443962,3.1850025501622192,-1.1084864531176741,-0.017271303327768273,19.321417720879005,walking
3,3.381028857359962,-15.778692078618832,0.06360190690157808,1.4049196623448346,6.152034088603705,3.183260703431431,-1.1179315584025673,-0.017418467307881436,19.163353654835152,walking
4,3.328940561437258,-15.492070440042768,-0.5208829592270403,2.8662163857606338,6.042263970505993,3.181550377607729,-1.097701180977122,-0.01710325823701897,18.8697174955957,walking
5,3.288670794505972,-15.325090439673374,-0.4026976693128592,1.6698000036939398,5.93366390883708,3.179858282407808,-1.0860006166891267,-0.016920951999210843,18.693023184646,walking
6,3.2081312606434005,-15.158110439303982,-0.805395338625714,1.669800003693922,5.827400123050302,3.178202588671616,-1.0626378578677809,-0.0165569373619201,18.522444353634377,walking
7,3.221581362514605,-15.009720879286306,0.13450101871204545,1.4838956001767656,5.718771486679216,3.176510048249881,-1.08628636371086,-0.01692540421735167,18.356877563079703,walking
8,3.127591726780829,-14.861219999654908,-0.9398963573377594,1.4850087963139735,5.61435080051647,3.1748830718088623,-1.0442068616274636,-0.016269764410186127,18.206729104791762,walking
9,3.0738718568338035,-14.675760879338496,-0.537198699470256,1.8545912031641265,5.511381711586203,3.173278712672766,-1.0296908893026657,-0.01604359136096356,18.01470700980731,walking
10,3.0738718568338035,-14.527259999707098,0.0,1.4850087963139735,5.404441189996287,3.171612474730737,-1.0694052158991596,-0.016662379420289142,17.851656513698966,walking
11,3.0336020899025176,-14.304619999478234,-0.4026976693128592,2.226400002288642,5.288870327892175,3.1698117676407787,-1.155708621041125,-0.018007070899583866,17.619364358823592,walking
